iso3,country,BE_INDEX,BE_FISHERIES,BE_TOURISM,BE_TRANSPORTATION,BE_OILGAS,BE_ANS,BE_CLIMATE,,,,
AGO,Angola,0.54,0.63,0.08,0.5650165,0.96,66.71,0.35,,,,
BEN,Benin,0.34,0.24,0.12,0.526224,0,78.93,0.36,,,,
CIV,Côte d'Ivoire,0.36,0.11,0.11,0.562431,0.18,79.85,0.38,,,,
CMR,Cameroon,0.36,0.18,0.06,0.557193,0.36,59.76,0.39,,,,
COD,DRC,0.18,0.03,0.02,0.413207,0.02,27.84,0.29,,,,
COG,"Congo, R. of",0.48,0.4,0.08,0.5628665,0.86,61.92,0.35,,,,
COM,Comoros,0.4,0.87,0.24,0.3304715,0,59.89,0.39,,,,
CPV,Cape Verde,0.6,0.99,1,0.3597855,0,89.44,0.38,,,,
DJI,Djibouti,0.39,0.22,0.53,0.587526,0,61.92,0.38,,,,
GAB,Gabon,0.48,0.73,0.04,0.3861855,0.67,61.92,0.42,,,,
GHA,Ghana,0.43,0.4,0.15,0.543976,0.36,64.88,0.46,,,,
GIN,Guinea,0.21,0.38,0.07,0.4612665,0,0,0.37,,,,
GMB,Gambia,0.43,0.64,0.45,0.3516285,0,73.68,0.38,,,,
GNB,Guinea-Bissau,0.29,0.53,0.23,0.26985,0,37.43,0.33,,,,
GNQ,Equatorial Guinea,0.46,0.59,0.2,0.3662285,0.65,61.92,0.36,,,,
KEN,Kenya,0.29,0.05,0.08,0.550443,0,68.03,0.35,,,,
LBR,Liberia,0.26,0.23,0.32,0.431757,0,26.13,0.32,,,,
MDG,Madagascar,0.33,0.33,0.29,0.446507,0,55.82,0.33,,,,
MOZ,Mozambique,0.41,0.26,0.13,0.5058835,0.49,73.94,0.36,,,,
MUS,Mauritius,0.57,0.66,0.98,0.547962,0,66.32,0.56,,,,
NAM,Namibia,0.53,0.95,0.29,0.464457,0.16,84.97,0.45,,,,
NGA,Nigeria,0.49,0.2,0.03,0.5858405,1,77.22,0.38,,,,
SEN,Senegal,0.49,0.93,0.31,0.5221835,0,79.06,0.39,,,,
SLE,Sierra Leone,0.29,0.78,0.13,0.395193,0,4.7,0.37,,,,
SOM,Somalia,0.23,0.14,0,0.4076,0.02,61.92,0.21,,,,
STP,São Tomé and Príncipe,0.48,0.93,0.67,0.262343,0,61.92,0.42,,,,
SYC,Seychelles,0.58,1,1,0.3610285,0,61.92,0.48,,,,
TGO,Togo,0.27,0.1,0.21,0.5681165,0,37.17,0.38,,,,
TZA,Tanzania,0.35,0.17,0.21,0.4590645,0.04,82.61,0.37,,,,
ZAF,South Africa,0.44,0.35,0.42,0.6855,0.04,65.53,0.5,,,,
