World_port_index_number,Region_index,Main_port_name,Wpi_country_code,iso3,lat,lon,Publication,Chart,Harbor_2ize_code,First_port_of_e0tr1,Tugs_assist,Commu0icatio0s_air,Commu0icatio0s_rail,Medical_facilities,Supplies_provisio0s,Supplies_water,Supplies_fuel_oil,Supplies_diesel_oil,Drydock
46485,46478,TAKULA TERMINAL,AO,,-5.216666667,11.78333333,123,57240,2,0,1,0,0,0,0,0,0,0,0
46487,46478,MALONGO OIL TERMINAL,AO,AGO,-5.433333333,12.08333333,123,57243,2,0,1,1,0,0,0,0,0,0,0
46488,46478,KUITO OIL FIELD,AO,AGO,-5.466666667,11.5,123,57240,1,0,1,0,0,1,0,0,0,0,0
46490,46478,CABINDA,AO,AGO,-5.533333333,12.2,123,57243,2,1,0,1,0,1,0,1,1,0,0
46495,46478,FUTILA TERMINAL,AO,AGO,-5.45,12.18333333,123,57243,1,0,0,0,0,1,0,0,0,0,0
46545,46540,SOYO ANGOLA LNG TERMINAL,AO,AGO,-6.116666667,12.33333333,123,57242,1,1,1,1,0,0,0,1,0,1,0
46547,46540,PALANCA TERMINAL,AO,AGO,-6.95,12.4,123,57260,2,0,1,0,0,1,0,0,0,0,0
46549,46540,GIRASSOL TERMINAL,AO,AGO,-7.65,11.68333333,123,57260,1,0,1,0,0,1,0,0,0,0,0
46550,46540,PORTO DO AMBRIZ,AO,AGO,-7.833333333,13.1,123,57260,1,0,1,0,0,0,0,0,0,1,0
46553,46540,ESTRELA OIL FIELD,AO,AGO,-6.45,12.4,123,57260,2,0,0,0,0,0,0,0,0,0,0
46560,46540,LUANDA,AO,AGO,-8.8,13.25,123,57262,2,1,1,1,1,1,1,1,1,1,1
46570,46540,PORTO AMBOIM,AO,AGO,-10.73333333,13.75,123,57280,1,0,0,1,1,1,1,0,1,0,0
46580,46540,SUMBE,AO,AGO,-11.2,13.83333333,123,57280,1,0,0,1,0,1,0,0,0,0,0
46590,46540,LOBITO,AO,AGO,-12.33333333,13.56666667,123,57282,2,1,1,1,1,1,1,1,1,0,1
46610,46540,NAMIBE,AO,AGO,-15.2,12.15,123,57300,2,1,1,1,1,1,1,1,1,1,0
46110,46100,COTONOU,BJ,BEN,6.35,2.433333333,123,57103,3,1,1,1,1,1,1,1,1,1,1
46510,46500,BANANA,CD,COD,-5.983333333,12.38333333,123,57242,1,0,1,1,0,1,0,0,1,1,0
46520,46500,BOMA,CD,COD,-5.85,13.05,123,57245,2,0,1,1,1,1,1,1,1,1,1
46530,46500,MATADI,CD,COD,-5.816666667,13.45,123,57246,2,1,1,1,1,1,1,1,1,1,0
46460,46455,YOMBO TERMINAL,CG,COG,-4.45,11.1,123,57240,1,0,1,0,0,0,0,0,0,0,0
46470,46455,POINTE NOIRE,CG,COG,-4.783333333,11.83333333,123,57241,2,1,1,1,1,1,1,1,1,1,1
46472,46455,DJENO TERMINAL,CG,COG,-4.933333333,11.9,123,57240,1,0,1,1,0,0,0,0,0,0,0
46473,46455,N'KOSSA TERMINAL,CG,COG,-5.266666667,11.56666667,123,57240,1,0,1,1,0,0,0,0,0,0,0
45963,45960,SAN PEDRO,CI,CIV,4.733333333,-6.616666667,123,57040,1,1,1,1,0,1,0,1,1,1,0
45970,45960,BAOBAB MARINE TERMINAL,CI,CIV,4.966666667,-4.55,123,57060,1,0,1,0,0,1,0,0,0,0,0
45990,45960,PORT BOUET,CI,CIV,5.233333333,-3.966666667,123,57063,1,0,1,0,0,1,0,1,1,1,0
46000,45960,ABIDJAN,CI,CIV,5.25,-4.016666667,123,57064,4,1,1,1,1,1,1,1,1,1,1
46008,45960,ESPOIR MARINE TERMINAL,CI,CIV,5.05,-4.45,123,57060,1,0,1,0,0,0,0,0,0,0,0
46262,46250,LIMBOH TERMINAL,CM,CMR,3.983333333,9.15,123,57160,1,0,0,0,0,1,0,1,1,1,0
46280,46250,DOUALA,CM,CMR,4.05,9.683333333,123,57161,3,1,1,1,1,1,1,1,1,1,3
46285,46250,KOLE OIL TERMINAL,CM,CMR,4.25,8.55,123,57160,1,0,1,1,0,1,0,0,0,0,0
46286,46250,MOUDI MARINE TERMINAL,CM,CMR,4.116666667,8.483333333,123,57165,1,1,1,1,0,0,0,0,0,0,0
46287,46250,EBOME MARINE TERMINAL,CM,CMR,2.8,9.816666667,123,57170,1,1,0,0,0,0,0,0,0,0,0
46292,46250,KOME KRIBI 1 MARINE TERMINAL,CM,CMR,2.916666667,9.8,123,57170,1,0,1,1,0,1,0,0,0,0,0
45880,45869,PORTO GRANDE,CV,CPV,16.88333333,-25,143,51500,1,1,1,1,0,1,1,1,1,1,0
45910,45869,PORTO DA PRAIA,CV,CPV,14.91666667,-23.51666667,143,51540,2,0,1,1,0,1,1,1,1,1,0
47850,47840,DJIBOUTI,DJ,DJI,11.6,43.13333333,172,62093/5,2,1,1,1,1,1,1,1,1,1,2
47855,47840,DORALEH,DJ,DJI,11.6,43.08333333,172,,2,0,0,0,0,0,0,0,0,0,0
