type,deaths,lat,lon
nationwide,18,-0.7122,29.0563
nationwide,2,2.0667,45.3667
nationwide,4,2.0667,45.3667
nationwide,3,2.0667,45.3667
nationwide,2,11.1036,13.7130
nationwide,4,10.9835,13.3501
nationwide,2,8.2502,7.1983
nationwide,7,10.8894,13.6283
nationwide,6,4.6431,6.0806
nationwide,12,11.0210,13.9666
nationwide,2,11.0210,13.9666
nationwide,4,11.0035,13.9411
nationwide,3,5.1066,7.3667
nationwide,3,10.9048,12.0886
nationwide,1,12.1076,11.7539
nationwide,14,12.1076,11.7539
nationwide,30,9.4265,12.4809
nationwide,3,11.8464,13.1603
nationwide,35,12.3599,14.4720
nationwide,3,11.0983,12.7642
nationwide,21,12.3653,13.8293
nationwide,2,6.5833,3.7500
nationwide,11,10.8658,12.8470
nationwide,40,11.1501,13.8480
nationwide,4,11.1842,13.9142
nationwide,13,10.1614,12.7399
nationwide,63,11.7600,13.2661
nationwide,1,11.3727,13.6541
nationwide,19,11.7283,13.2997
nationwide,3,11.8464,13.1603
nationwide,28,11.9007,14.0269
nationwide,28,11.5000,13.0000
nationwide,3,11.1694,12.2833
nationwide,1,11.1036,13.7130
nationwide,4,11.7929,13.2511
nationwide,5,11.8469,12.9359
nationwide,9,11.0035,13.9411
nationwide,10,5.1066,7.3667
nationwide,58,12.0361,13.9182
nationwide,7,10.9370,13.7176
nationwide,2,11.8302,12.6307
nationwide,4,11.5861,13.0028
nationwide,22,11.0983,12.7642
nationwide,8,11.1560,12.7576
nationwide,10,11.1036,13.7130
nationwide,2,7.8677,8.0949
nationwide,2,7.9557,7.9643
nationwide,2,7.9660,7.8235
nationwide,1,11.1750,13.7938
nationwide,3,11.9258,13.6056
nationwide,153,11.1416,13.7749
nationwide,24,10.9781,14.2417
nationwide,20,11.5206,14.0966
nationwide,3,11.5000,13.0000
nationwide,94,11.3548,14.2130
nationwide,28,12.0361,13.9182
nationwide,17,7.8677,8.0949
nationwide,17,7.6532,7.8841
nationwide,17,7.8731,8.0449
