country,iso3,FI_INDEX,FI_HEALTH,FI_FOREIGN,FI_LEGISLATION,FI_RFMO,FI_POLLUTION
Angola,AGO,0.6541,0.30,0.72,0.63,1.00,0.62
Benin,BEN,0.4651,0.38,0.91,0.75,0.00,0.29
Cabo Verde,CPV,0.6853,0.25,0.79,0.75,1.00,0.64
Cameroon,CMR,0.3708,0.52,0.93,0.00,0.00,0.41
Comoros,COM,0.6846,0.85,1.00,0.13,1.00,0.44
Congo (Rep),COG,0.4020,0.38,0.51,0.63,0.00,0.49
Côte d'Ivoire,CIV,0.5144,0.30,0.36,0.50,1.00,0.41
Djibouti,DJI,0.4446,0.47,0.73,0.50,0.00,0.52
DRC,COD,0.2406,0.33,0.48,0.00,0.00,0.40
Equatorial Guinea,GNQ,0.4441,0.27,0.35,0.00,1.00,0.60
Gabon,GAB,0.4957,0.45,0.38,0.00,1.00,0.65
Ghana,GHA,0.6931,0.59,0.98,0.50,1.00,0.40
Guinea,GIN,0.4821,0.17,0.25,0.50,1.00,0.49
Guinea-Bissau,GNB,0.4964,0.23,0.04,0.63,1.00,0.58
Kenya,KEN,0.7115,0.41,0.90,0.75,1.00,0.50
Liberia,LBR,0.3102,0.22,0.32,0.50,0.00,0.52
Madagascar,MDG,0.7566,0.52,0.91,0.75,1.00,0.60
Mauritius,MUS,0.6401,0.52,0.80,0.25,1.00,0.64
Mozambique,MOZ,0.7593,0.49,1.00,0.75,1.00,0.56
Namibia,NAM,0.7320,0.48,0.71,0.63,1.00,0.84
Nigeria,NGA,0.6830,0.42,1.00,0.63,1.00,0.36
São Tomé and Príncipe,STP,0.6346,0.30,0.48,0.75,1.00,0.65
Senegal,SEN,0.7001,0.36,0.90,0.75,1.00,0.49
Seychelles,SYC,0.7589,0.88,0.42,0.75,1.00,0.74
Sierra Leone,SLE,0.7250,0.32,0.97,0.88,1.00,0.45
Somalia,SOM,0.6237,0.56,0.44,0.50,1.00,0.62
South Africa,ZAF,0.8596,0.85,1.00,0.88,1.00,0.56
Tanzania,TZA,0.7952,0.68,1.00,0.75,1.00,0.55
The Gambia,GMB,0.4350,0.32,0.47,0.88,0.00,0.50
Togo,TGO,0.3740,0.35,0.36,0.88,0.00,0.28
