lat,lon,route
10.91961,-54.93164,main
10.91961,-53.7561,main
10.89804,-52.61352,main
10.88725, -51.55883,main
10.85488, -50.42724,main
10.81172,-49.31762,main
10.74696,-48.208,main
10.69299,-47.07641,main
10.60661, -45.96679,main
10.55262, -44.74731,main
10.53102,-43.56079,main
10.477,-42.16552,main
10.40137,-40.69335,main
10.41218, -39.29809,main
10.41218,-38.05664,main
10.42298,-36.73828,main
10.40137,-35.50781,main
10.37976,-34.32128,main
10.34734,-32.98095,main
10.31491, -31.61865,main
10.25006,-30.38818,main
10.28249,-29.14672,main
10.2933,-27.97119,main
10.31491,-26.9165,main
10.33653,-25.71899,main
10.35815,-24.67529,main
10.37976,-23.53271,main
10.41218,-22.46704,main
10.42298,-21.48925,main
10.43379, -20.55541,main
10.58502,-19.63256,main
10.79014,-18.51196,main
11.02747, -17.50122,main
11.3831,-16.40258,main
12.29706,-14.32617,northern
12.8118,-12.96386,northern
13.26133,-11.33789,northern
13.66733, -9.75585,northern
14.45595,-8.17382,northern
15.98245, -6.7456,northern
17.70682,-5.22949,northern
19.14516,-3.91113,northern
21.53484, -3.60351,northern
23.88583,-3.6914,northern
11.31848,-47.17528,main
12.11452,-46.30737,main
12.89748,-45.3955,main
13.41099,-44.26391,main
13.90207,-43.16528,main
14.27503,-42.17651,main
14.45595, -41.15478,main
14.63673,-39.97924,main
14.77488,-38.90258,main
14.92355,-37.81494,main
15.06154,-36.68336,main
15.19938,-35.56274,main
15.30537,-34.43115,main
15.39013,-33.28857,main
15.42194,-32.13499,main
15.53837,-31.06933,main
15.62303,-29.91577,main
15.69708,-28.81713,main
15.79225,-27.67456,main
15.95076,-26.54296,main
16.06692,-25.51025,main
16.20412, -24.29077,main
16.70986, -22.06054,main
16.9307,-21.02783,main
17.13029,-19.99511,main
17.34015,-18.99536,main
17.50786,-18.08349,main
17.80099,-17.0288,main
19.31114, -11.42578,eastern
20.40642, -9.3164,eastern
21.61657, -7.05322,eastern
23.07973,-4.96582,eastern
24.98605,-3.29589,eastern
27.48878,-2.28515,eastern
30.31598,-2.15332,eastern
33.6512, -2.37304,eastern
10.01212,-47.13134,main
9.27562,-46.47216,main
8.4941,-45.74707,main
7.97219,-44.67041,main
7.44962, -43.68164,main
7.01366,-42.40722,main
6.55547,-41.04492,main
6.31529, -39.50683,main
6.07501,-37.79296,main
5.94389,-36.21093,main
5.70344,-34.51904,main
5.48476,-32.7832,main
5.33164,-30.95947,main
5.02528,-29.04785,main
4.67497,-26.98242,main
4.39022, -24.96093,main
4.12728,-22.80761,main
3.77655,-20.58837,main
3.53535,-18.34716,main
3.31601, -15.86425,main
3.03081,-13.60107,main
2.94304, -11.25,main
3.09663,-9.14062,main
3.51342, -7.07519,main
3.95194,-5.05371,main
4.28068,-2.8125,main
4.39022,-0.96679,main
5.17848, 0.76904,main
5.92204,2.21923,main
6.27161,3.33984,main
8.12449, -3.88916,southern
8.84165,-2.0874,southern
9.4924,-0.10986,southern
10.31491,2.06542,southern
11.39387,3.6914,southern
12.66177, 5.42724,southern
14.79612,6.72363,southern
17.32966,7.69042,southern
19.91138,8.39355,southern
22.51255,8.50341,southern
25.38373,8.61328,southern
28.03319,8.72314,southern
30.35391,8.74511,southern
32.80574,8.39355,southern
34.88593,8.08593,southern
