id,date,contact,noSkiffs,pob,activityType,success,shipName,noSeafarers,shipType,flagState,crewSize,waterClass,movementType,locationType,locationDescription,lat,lon,theft,armsType,theftType,theftEstimate,injuryDescription,addlInfo,extraNote,notCounted
1,1/14/2016,Direct,1,4,Robbery;Successful Boarding,FALSE,Arc en Ciel,2,Yacht,France,1,Anchorage,Anchored,Territorial,southwest coast of St. Croix,,,TRUE,Guns;Knives,Minor Robbery,Cash and electronics,Slashed leg and gunshot wound to thigh that shattered femur and required emergency surgery,"https://www.safetyandsecuritynet.com/recent_incidents/, http://vifreepress.com/2016/02/piracy-in-st-croix-french-national-says-he-was-beaten-stabbed-shot-and-robbed-at-sea-off-the-coast-of-frederiksted/","They stole cash and electronics from below. The captain was then shot in the right thigh at close range, severely wounding him, and left on the floor of his drifting boat when the men departed.",
2,1/13/2016,Direct,1,4,Robbery;Successful Boarding,FALSE,Unknown,2,Yacht,,,Open water,Steaming,Territorial,"Middle Long Cay, Brazil",,,FALSE,Guns,Minor Robbery,"Cash, camera, computers, food, drinks, jewelry, outboard motor",,"http://www.sanpedrosun.com/crime-and-violence/2016/01/24/assault-and-robbery-at-sea/, https://www.safetyandsecuritynet.com/3636-2/,",Four men in 20-30 age range came aboard each armed with a pistol.,
10,1/27/2016,Direct,1,6,Failed Boarding,FALSE,Unknown,1,Yacht,,,Anchorage,Anchored,Territorial,off the coast of Nicaragua north of Isla Providencia (Colombia),14.50361156,-81.9283371,FALSE,,,,,https://www.safetyandsecuritynet.com/the-greater-antilles-cuba-haiti-jamaica-the-dominican-republic-and-puerto-rico/,a 60-foot steel fishing boat with at least 6 POB (boat description - white and blue; in very good condition; name ? Mister Henson; fishing vessel with crab fence - attempted to ram and board the yacht,
14,5/1/2016,Direct,1,3,Robbery;Successful Boarding,FALSE,Unknown,,Passenger,,,Open water,Steaming,Riverine,"Solimoes River in the State of Amazonas, Brazil",,,TRUE,Guns,Minor Robbery,"$2,600, several mobile phones and they stripped equipment from a vehicle being transported",,"http://www.cruiselawnews.com/2016/07/articles/fires-1/fire-bandits-plague-amazon-river-cruises-in-peru/, http://www.insightcrime.org/news-briefs/peru-river-pirates-in-the-amazon-river","In may unknown date the attackers wore masks and carried assault rifles and pistols. They stole $2,600, several mobile phones and they stripped equipment from a vehicle being transported by the ferry.",
17,5/1/2016,Direct,,10,Robbery;Successful Boarding,FALSE,Unknown,,Passenger,,,Open water,Steaming,Riverine,"city of Barcarena, near Brazil's northern Atlantic coast",,,TRUE,Armed (Unspecified),Minor Robbery,Unknown,,"http://www.insightcrime.org/news-briefs/pirates-terrorizing-brazilian-amazon-highlights-regional-security-concern,http://www.cruiselawnews.com/2016/07/articles/fires-1/fire-bandits-plague-amazon-river-cruises-in-peru/",In May date Unknown,
18,3/4/2016,Direct,,2,Robbery;Successful Boarding,FALSE,Unknown,2,Yacht,,3+,Anchorage,Anchored,Territorial,Wallilabou Bay,,,TRUE,Guns,Minor Robbery,"cash, credit cards",shot dead,"http://vifreepress.com/2016/03/9368/, https://www.safetyandsecuritynet.com/3636-2/","One person (German national) onboard was killed, and another German national injured.",
19,2/3/2016,Visual,2,7,Successful Boarding,FALSE,Nord Guardian,20,Product Tanker,Denmark,,Anchorage,Anchored,Territorial,"Callao Anchorage, Peru",12,-77.19999695,FALSE,,,,,,7 robbers armed with machetes in 2 speedboats came alongside the tanker. Two robbers boarded but were spotted by the alert crew resulting in the robbers escaping without stealing anything,
42,5/12/2016,Visual,1,2,Robbery;Successful Boarding,FALSE,Unknown,,,,,Open water,Anchored,Riverine,"Rio Chagres, Panama",,,TRUE,,Minor Robbery,Personal Valuables and Cash,,https://www.safetyandsecuritynet.com/recent_incidents/,"three perps in 18 foot white aluminum skiff with black outboard, believed to be local fisherman. Notified soldiers on naval patrol boat at mouth of river",
43,5/25/2016,Direct,,2,Robbery;Successful Boarding,FALSE,Unknown,2,yacht,UK,,,Anchored,Territorial,"Tobago Cays, St. Vincent and the Grenadines",12.63166714,-61.35638809,TRUE,Guns,Minor Robbery,"Cash (EC 500), cell phones","The Captain suffered several head and facial injuries, two fractured ribs and some bruising",https://www.safetyandsecuritynet.com/recent_incidents/,"boarded by two masked
men, one with a gun, while anchored in Tobago Cays. The intruders demanded money and hit the Captain several
times on the head with the yacht?s heavy flash light",
44,5/28/2016,Direct,,5,Robbery;Successful Boarding,FALSE,Rosana 664,,FV,Guyana,7,,,,"Lower Shell Area, near Nickerie in
northern Suriname",,,TRUE,,Minor Robbery,two 48 hp outboard motor engines,,https://www.safetyandsecuritynet.com/recent_incidents/,"Guyana police arrested five people allegedly involved in a pirate attack that left one
man dead and three others missing at sea.",
