name,location,lon,lat
Maritime Regional Training Center,Djibouti,11.8251,42.5903
DCG SAR Base,Djibouti,11.8251,42.5903
DCoC Information Sharing Centere (ISC),"Mombasa, Kenya",-4.0435,39.6682
Maritime Rescue Coordination Centere (MRCC),"Mombasa, Kenya",-4.0435,39.6682
DCoC Information Sharing Centere (ISC),"Dar es Salaam, Tanzania",-6.7924,39.2083
Maritime Rescue Sub-Centere (MRSC),"Dar es Salaam, Tanzania",-6.7924,39.2083
Maritime Rescue Sub-Centere (MRSC),"Maputo, Mozambique",-25.892,32.6051
Maritime Rescue Coordination Centere (MRCC),"Cape Town, South Africa",-33.9249,18.4241
Maritime Rescue Coordination Centere (MRCC),"Victoria, Seychelles",-4.6191,55.4513
Maritime Rescue Sub-Centere (MRSC),"Victoria, Seychelles",-4.6191,55.4513
Regional Fusion and Law Enforcement Centere for Safety and Security at Sea ( REFLECS3),"Victoria, Seychelles",-4.6191,55.4513
Maritime Rescue Sub-Centere (MRSC),"Moroni, Comoros",-11.7172,43.2473
Maritime Rescue Sub-Centere (MRSC),"Antananarivo, Madagascar",-18.8792,47.5079
Maritime Rescue Coordination Centere (MRCC),"Port Louis, Mauritius",-20.1609,57.5012
Zone G - Multinational Maritime Coordination Center (MMCC) (Planned),TBD,12.5,-20
Regional Maritime Rescue Coordination Center (RMRCC) ,"Monrovia, Liberia",6.2907,-10.7605
Regional Coordination Centere for Maritime Security in Western Africa (CRESMAO) (Planned),"Abidjan, Côte d'Ivoire",5.36,-4.0083
INTERPOL - West African Police Information System (WAPIS),"Abidjan, Côte d'Ivoire",5.36,-4.0083
Centere for Information and Communication (CINFOCOM) ,"Abidjan, Côte d'Ivoire",5.36,-4.0083
Maritime Trade Information Sharing Centere - Gulf of Guinea (MTISC-GOG),"Accra, Ghana",5.6037,-0.187
Ghana Maritime Authority - Maritime Hub (VTMIS) (Planned),"Accra, Ghana",5.6037,-0.187
Zone F - Multinational Maritime Coordination Center (MMCC) (Planned),"Accra, Ghana",5.6037,-0.187
Regional Maritime Rescue Coordination Center (RMRCC) ,"Lagos, Nigeria",6.5244,3.3792
Secure Anchorage Area (SAA) Tactical Operations Centere,"Lagos, Nigeria",6.5244,3.3792
Zone E - Multinational Maritime Coordination Center (MMCC),"Cotonou, Benin",6.3703,2.3912
Economic Community of West African States (ECOWAS) HQ,"Abuja, Nigeria",9.0765,7.3986
Zone D - Center for Multinational Coordination (CMC) ,"Douala, Cameroon",4.0511,9.7679
Maritime Inter-regional Coordination Centere (CIC) ,"Yaoundé, Cameroon",3.848,11.5021
Economic Community of Central African States (ECCAS) HQ ,"Libreville, Gabon",0.4162,9.4673
Regional Coordination Centere for Maritime Security in Central Africa (CRESMAC),"Point Noire, Republic of Congo",-4.7692,11.8664
Gulf of Guinea Commission (GGC) HQ,"Luanda, Angola",-8.84,13.2894
Zone A - Center for Multinational Coordination (CMC) (Planned),"Luanda, Angola",-8.84,13.2894
