country,iso3,index,navalCapacity,naviesLawEnf,mda,vessels,difficulty
Angola,AGO,0.466732707,0.54,1,0.35,0.68,0.34
Benin,BEN,0.536194726,0.33,1,0.75,0.39,0.66
Côte d'Ivoire,CIV,0.52490862,0.46,1,0.7,0.42,0.54
Cameroon,CMR,0.79374724,0.75,3,1,0.63,0.64
DRC,COD,0.356449357,0.13,1,0.3,0.61,0.67
Congo,COG,0.461810832,0.33,1,0.55,0.48,0.53
Comoros,COM,0.309218123,0.17,2,0.5,0.24,0.28
Cabo Verde,CPV,0.566773538,0.54,2,0.75,0.39,0.43
Djibouti,DJI,0.549584585,0.42,3,0.65,0.69,0.48
Gabon,GAB,0.591542773,0.5,1,0.8,0.54,0.41
Ghana,GHA,0.636090793,0.67,3,0.75,0.59,0.52
Guinea,GIN,0.378093678,0.21,1,0.45,0.35,0.6
The Gambia,GMB,0.39337944,0.25,1,0.25,0.5,0.86
Guinea-Bissau,GNB,0.280417427,0.13,1,0.25,0.24,0.69
Equatorial Guinea,GNQ,0.598916438,0.71,1,0.6,0.54,0.44
Kenya,KEN,0.650349241,0.75,3,0.7,0.45,0.55
Liberia,LBR,0.203938021,0.17,2,0.25,0,0.39
Madagascar,MDG,0.37993128,0.38,1,0.5,0.48,0.05
Mozambique,MOZ,0.343220832,0.25,1,0.45,0.42,0.24
Mauritius,MUS,0.659847698,0.63,2,0.8,0.61,0.62
Namibia,NAM,0.456984085,0.58,1,0.4,0.35,0.43
Nigeria,NGA,0.846074307,0.88,3,0.9,1,0.53
Senegal,SEN,0.685467981,0.75,3,0.85,0.35,0.56
Sierra Leone,SLE,0.37540446,0.25,1,0.55,0.24,0.41
Somalia,SOM,0.194098584,0.08,2,0.4,0,0.2
São Tomé and Príncipe,STP,0.3892267,0.17,2,0.55,0.24,0.66
Seychelles,SYC,0.519456177,0.46,2,0.75,0.48,0.32
Togo,TGO,0.486977965,0.42,1,0.6,0.3,0.59
Tanzania,TZA,0.494667874,0.46,1,0.55,0.52,0.43
South Africa,ZAF,0.740677834,1,1,0.85,0.52,0.22
