lat,lon,route
9.4057,-14.28222,guinea-canary
9.4924,-16.3916,guinea-canary
10.53102,-18.2373,guinea-canary
12.46876,-19.46777,guinea-canary
14.90232,-20.21484,guinea-canary
16.46769,-20.2478,guinea-canary
18.1876,-20.25329,guinea-canary
19.94236,-20.18737,guinea-canary
21.60636,-20.0885,guinea-canary
22.9685,-19.80285,guinea-canary
24.60706,-19.22607,guinea-canary
25.64152,-18.80859,guinea-canary
27.32297,-17.49023,guinea-canary
13.81674,-12.60955,trans-saharan
13.77673,-9.88769,trans-saharan
14.00869,-6.45996,trans-saharan
14.60484,-3.95507,trans-saharan
15.32259,-1.51062,trans-saharan
15.8768,0.83496,trans-saharan
15.97189,3.82873,trans-saharan
16.00357,6.32812,trans-saharan
16.50983,8.48144,trans-saharan
17.89511,10.54687,trans-saharan
19.60119,11.6455,trans-saharan
21.33031,12.17285,trans-saharan
23.26658,12.54089,trans-saharan
25.95804,13.0957,trans-saharan
29.11377,13.66699,trans-saharan
32.24997,13.40332,trans-saharan
14.85985,-17.7539,senegal-canary
16.17247,-19.07226,senegal-canary
18.15107,-16.57836,mauritania-canary
19.51837,-18.10546,mauritania-canary
21.00247,-19.07226,mauritania-canary
