country,iso3,MMM_FINAL,MMM_MAP_LEGAL,MMM_MAP_VULNERABLE,MMM_MAP_TRANSIT,MMM_MAP_ACTIVITY
Angola,AGO,0.5969362349,0.7,0.16,0.75,0.78
Benin,BEN,0.5677213625,0.56,0.51,0.78,0.42
Cabo Verde,CPV,0.7626302656,0.59,0.72,1,0.74
Cameroon,CMR,0.4923951575,0.64,0.35,0.65,0.33
Comoros,COM,0.4390084809,0.45,0.41,0.43,0.46
Congo,COG,0.608182187,0.6,0.37,0.65,0.81
Côte d'Ivoire,CIV,0.4440426906,0.62,0.28,0.45,0.42
Djibouti,DJI,0.4110688395,0.52,0.29,0.37,0.46
DRC,COD,0.4797748418,0.56,0.18,0.62,0.56
Equatorial Guinea,GNQ,0.548188188,0.42,0.22,0.64,0.92
Gabon,GAB,0.5155818846,0,0.45,0.62,0.38
Ghana,GHA,0.5126243247,0.61,0.68,0.54,0.22
Guinea,GIN,0.4134978577,0.55,0.26,0.48,0.38
Guinea-Bissau,GNB,0.5673076453,0.59,0.24,0.6,0.83
Kenya,KEN,0.5614312553,0.68,0.56,0.63,0.38
Liberia,LBR,0.5074943685,0.5,0.25,0.47,0.81
Madagascar,MDG,0.6362628069,0.69,0.36,0.78,0.71
Mauritus,MUS,0.6378199273,0.66,0.84,0.62,0.43
Mozambique,MOZ,0.566879048,0.62,0.14,0.94,0.56
Namibia,NAM,0.6889015469,0.59,0.57,0.72,0.88
Nigeria,NGA,0.4452670408,0.72,0.25,0.48,0.32
São Tomé and Príncipe,STP,0.5911820599,0.47,0.48,0.65,0.77
Senegal,SEN,0.4783411072,0.66,0.26,0.58,0.42
Seychelles,SYC,0.6922893436,0.56,0.65,0.77,0.79
Sierra Leone,SLE,0.5930465057,0.66,0.35,0.62,0.75
Somalia,SOM,0.2567451216,0.4,0.24,0.01,0.38
South Africa,ZAF,0.6335965362,0.83,0.61,0.88,0.22
Tanzania,TZA,0.6047842481,0.66,0.37,0.85,0.54
The Gambia,GMB,0.5522001535,0.54,0.35,0.5,0.81
Togo,TGO,0.579146941,0.69,0.5,0.59,0.53
