country,iso3,SSI_RANK,SSI_FINAL,index,unclos,unclos-ratified,partXI,partXI-ratified,un-fish-stocks,un-fish-stocks-ratified,disputes,yaounde,djibouti,lome
Angola,AGO,20,0.490126905,0.623015873,1,1,1,1,0,0,DRC,1,0,1
Benin,BEN,27,0.459279203,0.670634921,1,1,1,1,0,0,,3,0,
Cote d'Ivoire,CIV,18,0.508520033,0.837301587,1,1,1,1,1,0,Ghana,4,0,1
Cameroon,CMR,25,0.471425718,0.857142857,1,1,1,1,0,0,,2,0,
DRC,COD,29,0.368543417,0.55952381,1,1,0,0,0,0,Angola,1,0,1
Congo,COG,24,0.476127547,0.78968254,1,1,1,1,0,0,,1,0,1
Comoros,COM,21,0.488154703,0.523809524,1,1,0,0,0,0,France,,1,
Cabo Verde,CPV,1,0.711035118,0.869047619,1,1,1,1,0,0,France,5,0,1
Djibouti,DJI,17,0.519448662,0.523809524,1,1,0,0,0,0,Eritrea and Somalia,,1,
Gabon,GAB,10,0.55972588,0.753968254,1,1,1,1,1,0,Equatorial Guinea,2,0,1
Ghana,GHA,14,0.544704119,0.916666667,1,1,0,0,0,0,Cote d'Ivoire,4,0,1
Guinea,GIN,23,0.480467521,0.916666667,1,1,1,1,1,1,,4,0,1
The Gambia,GMB,11,0.558995121,0.821428571,1,1,0,0,0,0,,5,0,
Guinea-Bissau,GNB,16,0.529617301,0.78968254,1,1,0,0,1,0,,5,0,
Equatorial Guinea,GNQ,19,0.49978538,0.690476191,1,1,1,1,0,0,Gabon,2,0,
Kenya,KEN,13,0.545844813,0.666666667,1,1,1,1,1,1,Somalia,,1,1
Liberia,LBR,22,0.482564261,0.702380952,1,1,1,1,1,1,,4,0,1
Madagascar,MDG,15,0.538422647,0.619047619,1,1,1,1,0,0,France,,1,1
Mozambique,MOZ,12,0.554838554,0.833333333,1,1,1,1,1,1,,,1,
Mauritus,MUS,5,0.675640978,0.666666667,1,1,1,1,1,1,Seychelles and the United Kingdom,,1,
Namibia,NAM,2,0.702590993,0.833333333,1,1,1,1,1,1,,,0,
Nigeria,NGA,26,0.465865298,0.869047619,1,1,1,1,1,1,,3,0,1
Senegal,SEN,6,0.619844216,0.916666667,1,1,1,1,1,1,,5,0,
Sierra Leone,SLE,9,0.583283485,0.78968254,1,1,1,1,0,0,,4,0,1
Somalia,SOM,30,0.345601938,0.261904762,1,1,0,0,0,0,Djibouti and Yemen,,1,1
Sao Tome and Principe,STP,8,0.592524078,0.904761905,1,1,0,0,0,0,,2,0,1
Seychelles,SYC,4,0.685140651,0.666666667,1,1,1,1,1,1,Mauritius,,1,1
Togo,TGO,28,0.452410626,0.702380952,1,1,1,1,0,0,,3,0,1
Tanzania,TZA,7,0.602949132,0.738095238,1,1,1,1,0,0,,,1,1
South Africa,ZAF,3,0.697320584,0.833333333,1,1,1,1,1,1,,,1,
