country,provstate,city,lat,lon,actor,count
Ethiopia,Gambela,Jakawa,7.919334,33.166788,Murle Tribe,10
Ethiopia,Gambela,Fugnido,7.750254,34.500114,Murle Tribe,1
Ethiopia,Southern Nations,Arba Minch,6.035774,37.550187,Patriotic Ginbot 7 Movement for Unity and Democracy (PGMUD),1
Ethiopia,Amhara,Bure,10.698659,37.06085,Tigray Peoples Liberation Front (TPLF),1
Kenya,Garissa,Unknown,-1.565047,41.366985,Al-Shabaab,1
Kenya,Garissa,Liboi,0.352957,40.870275,Al-Shabaab,1
Kenya,Garissa,Owane,-0.457561,40.336841,Al-Shabaab,1
Kenya,Garissa,Basuba,-1.593373,41.432715,Al-Shabaab,1
Kenya,Garissa,Hameyi,-0.061944,39.010556,Al-Shabaab,2
Kenya,Garissa,Tumtish,-1.181667,40.900833,Al-Shabaab,1
Kenya,Garissa,Kabasalo,-1.595,40.514444,Al-Shabaab,1
Kenya,Garissa,Hulugho,-1.151667,41.064167,Al-Shabaab,2
Kenya,Kilifi,Malindi,-3.217051,40.116653,Unknown,1
Kenya,Kirinyaga,Sagana,-0.669342,37.208016,Al-Shabaab,1
Kenya,Kisumu,Sinyolo,-0.03404,34.667651,Unknown,1
Kenya,Kwale,Kwale,-4.173348,39.446944,Al-Shabaab,3
Kenya,Kwale,Kibuguni,-4.499999,39.349948,Unknown,1
Kenya,Kwale,Kombani,-4.194504,39.58704,Al-Shabaab,1
Kenya,Lamu,Lamu,-2.269558,40.900641,Al-Shabaab,1
Kenya,Lamu,Pandanguo,-2.235741,40.469372,Al-Shabaab,1
Kenya,Lamu,Mbwajumwali,-2.078974,41.133837,Unknown,1
Kenya,Lamu,Lamu,-2.269558,40.900641,Al-Shabaab,1
Kenya,Lamu,Kiunga,-1.74546,41.488779,Al-Shabaab,1
Kenya,Lamu,Ishakani,-1.732149,41.457339,Al-Shabaab,1
Kenya,Mandera,Alunga,3.935639,41.855116,Al-Shabaab,1
Kenya,Mandera,Mansa,3.560843,41.507043,Al-Shabaab,1
Kenya,Mandera,Mandera,3.935639,41.855116,Al-Shabaab,1
Kenya,Mandera,El Wak,2.807002,40.92839,Al-Shabaab,1
Kenya,Mandera,Damasa,3.159835,41.32566,Al-Shabaab,2
Kenya,Mandera,El Wak district,3.053793,40.903086,Al-Shabaab,1
Kenya,Mandera,El Wak district,3.029994,40.909152,Al-Shabaab,1
Kenya,Mandera,Fino,3.349728,41.398462,Al-Shabaab,1
Kenya,Mandera,Fino,3.382029,41.415798,Al-Shabaab,1
Kenya,Mandera,Sheikh Barrow,3.153661,41.185406,Al-Shabaab,1
Kenya,Mandera,Mandera,3.935639,41.855116,Al-Shabaab,6
Kenya,Mandera,El Wak,2.807002,40.92839,Al-Shabaab,1
Kenya,Mandera,El Wak,2.807002,40.92839,Unknown,1
Kenya,Mandera,El Wak,2.6515,40.887844,Al-Shabaab,2
Kenya,Mombasa,Mombasa,-4.043477,39.668207,Al-Shabaab,1
Kenya,Trans-Nzoia,Kitale,0.991656,35.025246,Unknown,1
Kenya,Wajir,Dif,0.99515,40.96147,Al-Shabaab,1
Kenya,Wajir,Diff,0.994829,40.961331,Al-Shabaab,1
Kenya,Wajir,Tarba,2.207744,40.103599,Al-Shabaab,1
Saudi Arabia,Eastern,Hofuf,25.40711,49.544237,Bahrain Province of the Islamic State,1
Saudi Arabia,Madinah,Medina,24.840398,39.320624,Hijaz Province of the Islamic State,1
Saudi Arabia,Makkah,Jeddah,21.525071,39.165189,Hijaz Province of the Islamic State,1
Saudi Arabia,Makkah,Jeddah,21.543333,39.172778,Hijaz Province of the Islamic State,1
Saudi Arabia,Tabuk,Tabuk,28.383333,36.583333,Hijaz Province of the Islamic State,1
Saudi Arabia,Asir,Abha,18.21272,42.493693,Houthi extremists (Ansar Allah),1
Saudi Arabia,Asir,Al-Tawal,17.916769,43.361625,Houthi extremists (Ansar Allah),1
Saudi Arabia,Asir,Dhahran al-Janub,17.665225,43.517421,Houthi extremists (Ansar Allah),1
Saudi Arabia,Asir,Khamis Mushait,18.299971,42.733284,Houthi extremists (Ansar Allah),1
Saudi Arabia,Asir,Khamis Mushayt,18.30891,42.766093,Houthi extremists (Ansar Allah),2
Saudi Arabia,Jazan,Ad Dafinah,17.25564,42.727309,Houthi extremists (Ansar Allah),1
Saudi Arabia,Jazan,Ad Dawad,16.889359,42.570567,Houthi extremists (Ansar Allah),1
Saudi Arabia,Jazan,Ad Dukhan,16.74667,43.217305,Houthi extremists (Ansar Allah),1
Saudi Arabia,Jazan,Al-Abadiyah,16.756625,43.230939,Houthi extremists (Ansar Allah),1
Saudi Arabia,Jazan,Al-Ayn Al-Hara,16.76068,43.212107,Houthi extremists (Ansar Allah),1
Saudi Arabia,Jazan,Al-Mahruq,16.764359,43.252999,Houthi extremists (Ansar Allah),1
Saudi Arabia,Jazan,Al-Qarn,16.552261,42.953253,Houthi extremists (Ansar Allah),1
Saudi Arabia,Jazan,Al-Tuwal,16.528083,42.968333,Houthi extremists (Ansar Allah),1
