lon,lat,date,vessel_name,ship_type,flag_state,category,region,details
51.46666666666667,14.7,2/20/16 0:00,Falcon,Bulk Carrier,Marshall Islands,Failed boarding,wior,Three skiffs approached and attempted to board the ship. Armed guards prepared to shoot and the skiffs aborted and moved away.
67.30055555555555,21.26888888888889,5/10/16 0:00,Shaamit,LNG,Singapore,Suspicious activity,wior,"(maybe India/Asia Classify) While the vessel was transiting from Singapore to Ras Laffan, the ship’s radar picked up three targets (two targets from port bow and one target on starboard bow) approached towards the vessel."
50.96666666666667,14.75,5/16/16 0:00,MSC TASMANIA,Container,Panama,Suspicious activity,wior,"ship underway spotted five skiffs approaching from astern. Master raised the alarm, increase speed and crew mustered. As the skiffs closed to five cables from the ship a ladder was noticed in one approaching skiff."
59.53333333333333,23.133333333333333,1/27/16 0:00,Globe Pegasus,Bulk Carrier,Marshall Islands,Suspicious activity,wior,"Four suspicious speed boats were following the
vessel and were able to get within one nautical
mile. Armed guards fired parachute rockets as a
warning and finally the chase ended and the
speed boats moved away"
42.583333333333336,13.616666666666667,7/22/16 0:00,Responder,Cable Layer,Marshall Islands,Suspicious activity,wior,"sixteen men in two skiffs armed with assault rifles and an RPG approached cable 
layer vessel installing cable and fired shots"
61.18333333333333,9.73611111111111,5/8/16 0:00,Lia,Tanker,Liberia,Suspicious activity,wior,"Suspicious skiff followed vessel, course was altered and the crew retreated to the citadel. Security team stood by until the vessel was considerred safe"
42.9,13.666666666666666,8/24/16 0:00,Sea Star,Bulk Carrier,Marshall Islands,Suspicious activity,wior,Vessel chased by high speed boats. Armed guards on board showed their weapons and the boats backed away
42.81666666666667,-14.016666666666667,10/3/16 0:00,Unknown,Tanker,,Suspicious activity,wior,"reported a skiff closing to within two tenths of a mile. The skiff had a black hull with six persons on board wearing black and white clothing, with 3-4 weapons sighted. The vessel’s security team showed their presence and the skiff moved away."
59.449167,12.633611,10/22/16 0:00,CPO Korea,Tanker,United Kingdom,Failed boarding,wior,"During the attack a number of shots were exchanged between the six armed men, who were in a fast-moving skiff, and the armed security team on board CPO Korea. Suspected pirates broke away after crew implemented self protection measures"
46.300000,-15.716667,10/30/16 0:00,Eutikia,Yacht,France,Armed Robbery,wior,"On 30 October, three robbers boarded SV EUTIKIA, anchored near position 15:43S - 046:18E, 
Mahajanga anchorage. The robbers threatened the crew with knives and forced them inside the boat."
43.334167,12.668889,12/22/16 0:00,Unknown,,,Suspicious activity,wior,"The closest speed boat to within 0.3nm. MV sounded alarm, increased speed, and activated hoses. AST showed weapons to the speed boats, which then altered their course and moved away. MV is safe."
41.300278,15.751944,12/23/16 0:00,Unknown,,,Suspicious activity,wior,"Closest skiff came within 100m. MV embarked security team fired warning shots, 3-4 flashes of light were seen from the skiffs. Crew mustered in citadel and vessel carried out evasive action. Skiffs moved away."
45.010986,11.867351,6/16/16 0:00,MSC Rapallo,Container,Liberia,Suspicious activity,wior,"received information from a navy ship about several
skiffs that were heading in its direction. As a precaution, an additional watchman was posted to the poop deck. The
fire pump was activated and other security measures maintained"
70.092,22.817,1/7/16 0:00,Shebelle,General Cargo,Ethiopia,Failed attack,wior,"While at anchor, the crew found two ropes hanging from the
fore part of the ship and two broken locks of the store. No
person or boat was sighted."
69.983,22.781,1/11/16 0:00,CMB Medoc,Bulk Carrier,Panama,Unarmed Robbery,wior,
69.983,22.767,1/11/16 0:00,Bow Kiso,Tanker,Panama,Failed attack,wior,"While at anchor, five perpetrators boarded the ship."
