country,iso3,index
Angola,AGO,23
Benin,BEN,24
Cote d'Ivoire,CIV,68
Cameroon,CMR,35
DRC,COD,39
Congo,COG,27
Comoros,COM,88
Cabo Verde,CPV,98
Djibouti,DJI,74
Gabon,GAB,42
Ghana,GHA,24
Guinea,GIN,78
The Gambia,GMB,94
Guinea-Bissau,GNB,89
Equatorial Guinea,GNQ,27
Kenya,KEN,100
Liberia,LBR,88
Madagascar,MDG,86
Mozambique,MOZ,90
Mauritius,MUS,99
Namibia,NAM,100
Nigeria,NGA,0
Senegal,SEN,93
Sierra Leone,SLE,82
Somalia,SOM,70
Sao Tome and Principe,STP,23
Seychelles,SYC,96
Togo,TGO,35
Tanzania,TZA,97
South Africa,ZAF,100
