country,iso3,region,SSI_RANK,SSI_FINAL,internationalCooperation,ruleOfLaw,coastalWelfare,blueEconomy,fisheries,piracy,illicitTrade,maritimeEnforcement,maritimeMixedMigration
Angola,AGO,southernCoast,20,0.490126905,0.623015873,0.260206667,0.457118603,0.553313894,0.65306,0.2347165,0.566041667,0.466732707,0.596936235
Benin,BEN,northernGulf,27,0.459279203,0.670634921,0.623113333,0.632665298,0.376804619,0.46514,0.2351969,0.026041667,0.536194726,0.567721363
Cote d'Ivoire,CIV,northernGulf,18,0.508520033,0.837301587,0.526633333,0.527897792,0.428754268,0.51436,0.6832582,0.08952381,0.52490862,0.444042691
Cameroon,CMR,southernGulf,25,0.471425718,0.857142857,0.30698,0.556927577,0.441233994,0.37078,0.3465413,0.077083333,0.79374724,0.492395158
DRC,COD,southernGulf,29,0.368543417,0.55952381,0.221686667,0.462427135,0.198628108,0.24058,0.3894875,0.408333333,0.356449357,0.479774842
Congo,COG,southernGulf,24,0.476127547,0.78968254,0.262693333,0.658714821,0.486767353,0.40098,0.2682613,0.348055556,0.461810832,0.608182187
Comoros,COM,westIndianOcean,21,0.488154703,0.523809524,0.419026667,0.652900319,0.388417157,0.6836,0.8793565,0.098055556,0.309218123,0.439008481
Cabo Verde,CPV,westernCoast,1,0.711035118,0.869047619,0.763646667,0.751745887,0.611611289,0.68528,0.9848308,0.40375,0.566773538,0.762630266
Djibouti,DJI,easternCoast,17,0.519448662,0.523809524,0.372073333,0.670748546,0.424658131,0.44458,0.743515,0.535,0.549584585,0.41106884
Gabon,GAB,southernGulf,10,0.55972588,0.753968254,0.40538,0.731799588,0.50646932,0.4957,0.4220911,0.615,0.591542773,0.515581885
Ghana,GHA,northernGulf,14,0.544704119,0.916666667,0.638806667,0.748357996,0.476256034,0.69314,0.2446803,0.035714286,0.636090793,0.512624325
Guinea,GIN,westernCoast,23,0.480467521,0.916666667,0.39998,0.607487307,0.251254017,0.4821,0.7784615,0.096666667,0.378093678,0.413497858
The Gambia,GMB,westernCoast,11,0.558995121,0.821428571,0.39554,0.664393625,0.441959233,0.43396,0.9414284,0.386666667,0.39337944,0.552200154
Guinea-Bissau,GNB,westernCoast,16,0.529617301,0.78968254,0.342386667,0.605964451,0.389558943,0.49544,0.8874647,0.408333333,0.280417427,0.567307645
Equatorial Guinea,GNQ,southernGulf,19,0.49978538,0.690476191,0.2516,0.666739069,0.513905705,0.4441,0.2658095,0.518333333,0.598916438,0.548188188
Kenya,KEN,easternCoast,13,0.545844813,0.666666667,0.501093333,0.495001437,0.283783604,0.7115,1,0.042777778,0.650349241,0.561431255
Liberia,LBR,westernCoast,22,0.482564261,0.702380952,0.454446667,0.678641292,0.348069569,0.31022,0.8751097,0.262777778,0.203938021,0.507494369
